code,name,unit,unit_price
gutter_3m,Υδρορροή 3m,piece,75.00
gutter_4m,Υδρορροή 4m,piece,12.40
gutter_piece,Υδρορροή (κομμάτι),piece,11.50
post_low,Κολόνα Χαμηλή,piece,12.90
post_tall,Κολόνα Υψηλή,piece,18.50
ridge_cap,γαμιεσαι,οτι,75.00
